issue,key,parent_key,average_to_do_workdays,average_acknowledged_workdays,average_wip_workdays,average_on_hold_team_internal_workdays,average_on_hold_customers_workdays,average_verified_workdays,average_resolved_workdays,workdays_in_current_status,status,sw_resolution__breached,software_defect_resolution_sla_breached,average_resolution_workdays,priority,severity,components,linked_issues_count,resolution,created_by,customer,realm,impacted_environment,found_in,type,defect_category,software_defect_fix_sla_start_date,software_defect_fix_sla_target_date,software_defect_fix_sla_end_date,software_defect_resolution_sla_start_date,software_defect_resolution_sla_target_date,software_defect_resolution_sla_end_date,product_deliverable,core_product,parent_product,feature_attribute,created_date,resolution_date,due_date,software_defect_acknowledgement_sla_breached,software_defect_acknowledgement_sla_start_date,software_defect_acknowledgement_sla_end_date,software_defect_acknowledgement_sla_target_date,external_id,reopen_count,resolution_quality,created_year_month,resolved_year_month
ISSUE-1107,KEY-1107,,0.4776,0,0,4.2127,10.0529,0,0,237.87784471064816,Resolved,0,Not breached,14.74,unassigned,S2 - Major,COMP-61,0,Outdated/No Feedback,External Customer,CUST-112,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/21/24 2:31,,,7/21/24 2:31,9/2/24 1:56,2024-08-09T17:50:04.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-21T02:31:38.000,8/9/24 17:50,,Not breached,7/21/24 2:31,8/9/24 17:50,8/12/24 2:16,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-1204,KEY-1204,,1.6971,0,0,0,12.3474,0,0,237.84230072916665,Resolved,0,Not breached,14.04,unassigned,S1 - Critical,COMP-60,0,Outdated/No Feedback,External Customer,CUST-226,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/22/24 17:37,,,7/22/24 17:37,8/22/24 1:57,2024-08-09T18:41:15.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-22T17:37:15.000,8/9/24 18:41,,Not breached,7/22/24 17:37,8/9/24 18:41,8/13/24 1:57,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-1225,KEY-1225,,0,0,0,0.2228,0,0,0,250.97966185185186,Open,0,Breached,0,unassigned,S1 - Critical,COMP-97,1,(unresolved),External Customer,CUST-26,REALM--14,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/22/24 23:32,,,7/22/24 23:32,8/5/24 23:32,,PROD-DELIVERABLE-1,CORE-PROD-137,PARENT-PROD-38,FEATURE-2,2024-07-22T23:32:37.000,,,Breached,7/22/24 23:32,,7/25/24 23:32,EXTERNAL-ID-388,0,Unresolved,2024-07,NaT
ISSUE-1285,KEY-1285,,52.7183,0,0,0,0,0,0,198.39122435185186,Resolved,0,Not breached,52.72,unassigned,S3 - Minor,COMP-85,0,Invalid,External Customer,CUST-142,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,7/23/24 12:16,,,7/23/24 12:16,10/15/24 11:16,2024-10-04T05:30:48.000,PROD-DELIVERABLE-1,CORE-PROD-98,PARENT-PROD-18,FEATURE-2,2024-07-23T12:16:25.000,10/4/24 5:30,,Breached,7/23/24 12:16,10/4/24 5:30,7/30/24 12:16,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-10
ISSUE-1602,KEY-1602,,0.205,0,0,0,0,0,0,250.01998592592594,Resolved,0,Not breached,0.21,unassigned,S2 - Major,COMP-65,0,Invalid,External Customer,CUST-254,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/24/24 9:30,,,7/24/24 9:30,8/21/24 9:10,2024-07-24T14:25:23.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-24T09:30:08.000,7/24/24 14:25,,Not breached,7/24/24 9:30,7/24/24 14:25,7/31/24 9:30,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-07
ISSUE-1929,KEY-1929,,1.0736,0,0,0,0,0,118.9669,127.92833083333332,Closed,0,Not breached,1.07,unassigned,S1 - Critical,COMP-152,0,Won't Fix,External Customer,CUST-162,REALM--146,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/26/24 15:39,,,7/26/24 15:39,8/9/24 15:39,2024-07-29T17:25:04.000,PROD-DELIVERABLE-1,CORE-PROD-56,PARENT-PROD-40,FEATURE-2,2024-07-26T15:39:05.000,7/29/24 17:25,,Not breached,7/26/24 15:39,7/29/24 17:25,7/31/24 15:39,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-07
ISSUE-1936,KEY-1936,,1.6833,0,0,0,6.3398,0,108.5671,131.2331109,Closed,0,Not breached,8.02,unassigned,S1 - Critical,COMP-58,0,Invalid,External Customer,CUST-137,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-4,7/26/24 19:08,,,7/26/24 19:08,8/20/24 3:17,2024-08-07T19:41:54.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-26T19:08:37.000,8/7/24 19:41,,Not breached,7/26/24 19:08,8/7/24 19:41,8/9/24 3:17,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-1957,KEY-1957,,0.4973,0,0,0,18.077,0,0,228.0950206597222,Resolved,0,Not breached,18.57,unassigned,S2 - Major,COMP-61,0,Outdated/No Feedback,External Customer,CUST-233,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/29/24 22:50,,,7/29/24 22:50,9/20/24 0:21,2024-08-23T12:37:20.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-29T22:50:25.000,8/23/24 12:37,,Not breached,7/29/24 22:50,8/23/24 12:37,8/30/24 0:41,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-1958,KEY-1958,,0.5026,0,0,0,23.0671,0,0,223.09493964120372,Resolved,0,Not breached,23.57,unassigned,S2 - Major,COMP-65,0,Outdated/No Feedback,External Customer,CUST-233,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/29/24 22:57,,,7/29/24 22:57,9/27/24 0:13,2024-08-30T12:37:27.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-29T22:57:08.000,8/30/24 12:37,,Not breached,7/29/24 22:57,8/30/24 12:37,9/6/24 0:33,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-1959,KEY-1959,,0.4997,0,0,0,23.3004,0,0,222.85889798611112,Resolved,0,Not breached,23.8,unassigned,S2 - Major,COMP-56,0,Outdated/No Feedback,External Customer,CUST-233,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/29/24 23:05,,,7/29/24 23:05,9/27/24 5:57,2024-08-30T18:17:21.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-29T23:05:15.000,8/30/24 18:17,,Not breached,7/29/24 23:05,8/30/24 18:17,9/6/24 6:17,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-1968,KEY-1968,,0.2634,0,0,1.8926,0,0,8.0242,236.0187706712963,Closed,0,Not breached,2.16,unassigned,S2 - Major,COMP-32,0,Invalid,External Customer,CUST-188,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/30/24 10:07,,,7/30/24 10:07,8/27/24 9:47,2024-08-01T13:52:20.000,PROD-DELIVERABLE-1,CORE-PROD-49,PARENT-PROD-18,FEATURE-20,2024-07-30T10:07:45.000,8/1/24 13:52,,Not breached,7/30/24 10:07,8/1/24 13:52,8/6/24 10:07,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-1988,KEY-1988,,0.7698,0,0,0,0,0,0,245.20605076388887,Resolved,0,Not breached,0.77,unassigned,S3 - Minor,COMP-4,0,Invalid,External Customer,CUST-104,REALM--119,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-8,7/30/24 15:28,,,7/30/24 15:28,10/22/24 14:28,2024-07-31T09:57:27.000,PROD-DELIVERABLE-1,CORE-PROD-85,PARENT-PROD-2,FEATURE-2,2024-07-30T15:28:57.000,7/31/24 9:57,,Not breached,7/30/24 15:28,7/31/24 9:57,8/6/24 15:28,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-07
ISSUE-2022,KEY-2022,,0.013,0,0,0,0,0,0,244.7990021527778,Resolved,0,Not breached,0.01,unassigned,S3 - Minor,COMP-34,0,Invalid,External Customer,CUST-36,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/31/24 19:24,,,7/31/24 19:24,10/23/24 18:24,2024-07-31T19:43:36.000,PROD-DELIVERABLE-1,CORE-PROD-17,PARENT-PROD-18,FEATURE-2,2024-07-31T19:24:49.000,7/31/24 19:43,,Not breached,7/31/24 19:24,7/31/24 19:43,8/7/24 19:24,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-07
ISSUE-2024,KEY-2024,,1.443,0,0,2.1067,0,0,0,241.11345818287037,Resolved,0,Not breached,3.55,unassigned,S3 - Minor,COMP-149,0,Invalid,External Customer,CUST-172,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/31/24 22:59,,,7/31/24 22:59,10/23/24 21:59,2024-08-06T12:10:47.000,PROD-DELIVERABLE-1,CORE-PROD-11,PARENT-PROD-26,FEATURE-2,2024-07-31T22:59:12.000,8/6/24 12:10,,Not breached,7/31/24 22:59,8/6/24 12:10,8/7/24 22:59,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-2033,KEY-2033,,1.8371,0,0,0,0,0,1.082,241.2792452199074,Closed,0,Not breached,1.84,unassigned,S2 - Major,COMP-7,0,Invalid,External Customer,CUST-118,REALM--1,ENV-7,Requirement Analysis,Software Defect,DEFECT-CATEGORY-1,8/1/24 10:08,,,8/1/24 10:08,8/29/24 9:48,2024-08-05T06:13:59.000,PROD-DELIVERABLE-25,CORE-PROD-45,PARENT-PROD-35,FEATURE-74,2024-08-01T10:08:34.000,8/5/24 6:13,,Not breached,8/1/24 10:08,8/5/24 6:13,8/8/24 10:08,EXTERNAL-ID-1,0,Negatively Resolved,2024-08,2024-08
ISSUE-2037,KEY-2037,,5.2059,0,0,0,0,0,0,238.93802994212962,Resolved,0,Not breached,5.21,unassigned,S2 - Major,COMP-30,0,Won't Fix,External Customer,CUST-230,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,8/1/24 11:26,,,8/1/24 11:26,8/29/24 11:06,2024-08-08T16:23:24.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-29,FEATURE-2,2024-08-01T11:26:54.000,8/8/24 16:23,,Breached,8/1/24 11:26,8/8/24 16:23,8/8/24 11:26,EXTERNAL-ID-1,0,Negatively Resolved,2024-08,2024-08
ISSUE-2059,KEY-2059,,1.8137,0,0,0,0,0,0,239.19074984953704,Resolved,0,Not breached,1.24,unassigned,S2 - Major,COMP-61,0,Invalid,External Customer,CUST-254,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,8/2/24 4:45,,,8/2/24 4:45,9/3/24 14:27,2024-08-08T10:19:29.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-29,FEATURE-2,2024-08-02T04:45:08.000,8/5/24 10:26,,Not breached,8/2/24 4:45,8/8/24 10:19,8/13/24 14:47,EXTERNAL-ID-1,2,Negatively Resolved,2024-08,2024-08
ISSUE-2075,KEY-2075,,0.6673,0,0,10.8807,10.0228,0,0,221.05010171296294,Resolved,0,Not breached,21.57,unassigned,S2 - Major,COMP-38,0,Outdated/No Feedback,External Customer,CUST-199,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,8/3/24 11:06,,,8/3/24 11:06,9/16/24 1:12,2024-09-03T13:42:01.000,PROD-DELIVERABLE-1,CORE-PROD-58,PARENT-PROD-18,FEATURE-2,2024-08-03T11:06:07.000,9/3/24 13:42,,Breached,8/3/24 11:06,9/3/24 13:42,8/26/24 1:32,EXTERNAL-ID-1,0,Negatively Resolved,2024-08,2024-09
ISSUE-2110,KEY-2110,,5.2043,0.0076,0,0,0,0,0,234.90873597222225,Resolved,0,Not breached,5.21,unassigned,S2 - Major,COMP-9,0,Invalid,External Customer,CUST-138,REALM--118,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,8/12/24 21:31,9/2/24 21:16,8/12/24 21:42,8/5/24 16:42,9/4/24 11:40,2024-08-14T17:05:35.000,PROD-DELIVERABLE-1,CORE-PROD-109,PARENT-PROD-2,FEATURE-2,2024-08-05T16:42:43.000,8/12/24 21:42,,Breached,8/5/24 16:42,8/14/24 17:05,8/12/24 16:42,EXTERNAL-ID-1,1,Negatively Resolved,2024-08,2024-08
ISSUE-2119,KEY-2119,,23.5156,0,0,0,6.089,0,0,212.1677174537037,Resolved,0,Not breached,29.6,unassigned,S3 - Minor,COMP-15,1,Cannot Reproduce,External Customer,CUST-90,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-10,8/5/24 20:22,,,8/5/24 20:22,11/5/24 20:30,2024-09-16T10:52:39.000,PROD-DELIVERABLE-4,CORE-PROD-10,PARENT-PROD-26,FEATURE-2,2024-08-05T20:22:06.000,9/16/24 10:52,,Breached,8/5/24 20:22,9/16/24 10:52,8/20/24 22:30,EXTERNAL-ID-1,0,Negatively Resolved,2024-08,2024-09
ISSUE-2126,KEY-2126,,182.9299,0,0,0,0,0,0,58.51765958333333,Resolved,1,Breached,182.93,unassigned,S3 - Minor,COMP-7,2,Outdated/No Feedback,External Customer,CUST-118,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,8/6/24 4:09,,,8/6/24 4:09,10/29/24 2:09,2025-04-18T02:28:44.000,PROD-DELIVERABLE-1,CORE-PROD-98,PARENT-PROD-32,FEATURE-2,2024-08-06T04:09:43.000,4/18/25 2:28,,Breached,8/6/24 4:09,4/18/25 2:28,8/13/24 4:09,EXTERNAL-ID-1,0,Negatively Resolved,2024-08,2025-04
ISSUE-2137,KEY-2137,,3.1509,3.1905,0,0,0,0,0,226.9731225578704,Resolved,0,Not breached,6.31,unassigned,S2 - Major,COMP-97,1,Duplicate,External Customer,CUST-142,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,8/9/24 9:31,8/30/24 9:16,8/14/24 14:06,8/6/24 6:45,9/13/24 7:01,2024-08-26T15:32:52.000,PROD-DELIVERABLE-1,CORE-PROD-21,PARENT-PROD-38,FEATURE-2,2024-08-06T06:45:48.000,8/14/24 14:06,,Not breached,8/6/24 6:45,8/26/24 15:32,8/28/24 11:55,EXTERNAL-ID-1,1,Negatively Resolved,2024-08,2024-08
ISSUE-2157,KEY-2157,,1.1921,0,0,0.1692,7.6153,0,0,232.22734709490743,Resolved,0,Not breached,8.98,unassigned,S1 - Critical,COMP-61,0,Cannot Reproduce,External Customer,CUST-84,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,8/6/24 10:00,,,8/6/24 10:00,8/30/24 0:46,2024-08-19T09:26:47.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-08-06T10:00:21.000,8/19/24 9:26,,Not breached,8/6/24 10:00,8/19/24 9:26,8/21/24 0:46,EXTERNAL-ID-1,0,Negatively Resolved,2024-08,2024-08
ISSUE-2165,KEY-2165,,0.1897,0,0,35.0814,0,0,0,205.8550438541667,Resolved,0,Not breached,35.27,unassigned,S3 - Minor,COMP-55,1,Invalid,External Customer,CUST-127,REALM--50,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,8/6/24 11:52,,,8/6/24 11:52,10/29/24 9:52,2024-09-24T18:22:54.000,PROD-DELIVERABLE-1,CORE-PROD-22,PARENT-PROD-38,FEATURE-2,2024-08-06T11:52:30.000,9/24/24 18:22,,Breached,8/6/24 11:52,9/24/24 18:22,8/13/24 11:52,EXTERNAL-ID-392,0,Negatively Resolved,2024-08,2024-09
